newsHeadline,URL
Arnott's Debut ETF Bets on Index Rejects,https://finance.yahoo.com/m/5c646a54-db20-3468-b476-66a4a8999de3/arnott%27s-debut-etf-bets-on.html
August jobs report set to be the 'pivotal' factor in the size of the Fed's coming interest rate cut,https://finance.yahoo.com/news/august-jobs-report-set-to-be-the-pivotal-factor-in-the-size-of-the-feds-coming-interest-rate-cut-182656927.html
"SMH, Semiconductor ETFs: Will Broadcom Save Them?",https://finance.yahoo.com/m/1d46dc5b-69f0-35ff-bfdd-1f195b11a4b5/smh%2C-semiconductor-etfs%3A-will.html
Tradr Debuts Leveraged ETFs for Longer-Term Investors,https://finance.yahoo.com/m/f4e8e132-3405-353a-95db-de1b45b1b91b/tradr-debuts-leveraged-etfs.html
What investors are getting wrong about the VIX right now,https://finance.yahoo.com/news/what-investors-are-getting-wrong-about-the-vix-right-now-100043618.html
"VOO, TLT Push August ETF Inflows to $71B",https://finance.yahoo.com/m/2508d4d7-c656-3e3a-b2e7-ba0a3c0ba8b7/voo%2C-tlt-push-august-etf.html
XLU: Utilities Sector Outperforms S 500 in August,https://finance.yahoo.com/m/8baae7b9-2e5f-39d1-b11c-ec9e1a911dcb/xlu%3A-utilities-sector.html
Crucial jobs report kicks off a new month: What to know this week,https://finance.yahoo.com/news/crucial-jobs-report-kicks-off-a-new-month-what-to-know-this-week-104502430.html
Crucial September jobs report kicks off a new month: What to know this week,https://finance.yahoo.com/news/crucial-september-jobs-report-kicks-off-a-new-month-what-to-know-this-week-123345608.html
Why investors turn to ETFs during times of market stress,https://finance.yahoo.com/news/why-investors-turn-to-etfs-during-times-of-market-stress-190447871.html
Want to Get Your Portfolio to $1 Million by Retirement? Here's How Much You Should Invest Every Month,https://finance.yahoo.com/m/98ee529d-9f27-3b81-99ae-7ea1b09eed81/want-to-get-your-portfolio-to.html
"Pessimism among retail investors increases, AAII survey shows",https://finance.yahoo.com/news/pessimism-among-retail-investors-increases-160438621.html
Worry more about the AI bubble burst than US recession: strategists,https://finance.yahoo.com/news/worry-more-ai-bubble-burst-134039564.html
Investors Funnel $2.2B Into These 5 Real Estate ETFs In Anticipation Of Fed Rate Cuts,https://finance.yahoo.com/news/investors-funnel-2-2b-5-130020074.html
Why gold is outperforming nearly everything so far this year,https://finance.yahoo.com/news/why-gold-is-outperforming-nearly-everything-so-far-this-year-100022695.html
The Stock Market Is the Greatest Wealth Generator Ever Devised. Here's Proof.,https://finance.yahoo.com/m/b49349a7-8549-3a63-9804-3040e2f87f6e/the-stock-market-is-the.html
BCA assigns 55% chance that Trump will win the presidency in November,https://finance.yahoo.com/news/bca-assigns-55-chance-trump-144648323.html
Nvidias Earnings: Biggest News of the Week for ETFs,https://finance.yahoo.com/m/dd27993c-8d37-39ac-805d-8864aaa42596/nvidia%E2%80%99s-earnings%3A-biggest.html
Should SPDR S&amp;P 500 ETF (SPY) Be on Your Investing Radar?,https://finance.yahoo.com/news/spdr-p-500-etf-spy-102007136.html
Powells latest pivot wont be his last,https://finance.yahoo.com/news/powell-latest-pivot-won-t-090520027.html
Nvidia earnings highlight a busy end of August: What to know this week,https://finance.yahoo.com/news/nvidia-earnings-highlight-a-busy-end-of-august-what-to-know-this-week-144305612.html
Investors price in 4 rate cuts from Fed after Powell signals 'ample room' to move,https://finance.yahoo.com/news/investors-price-in-4-rate-cuts-from-fed-after-powell-signals-ample-room-to-move-155614149.html
Powell Rate Comments Push ETFs Toward Records,https://finance.yahoo.com/m/149db351-c5dc-3f99-9d45-ebaeabd324dd/powell-rate-comments-push.html
"Labor market weakness shows signs of 'leveling off,' keeps Fed on track to cut rates in September",https://finance.yahoo.com/news/labor-market-weakness-shows-signs-of-leveling-off-keeps-fed-on-track-to-cut-rates-in-september-142639123.html
"Labor market weakness shows signs of 'leveling off,' keeps Fed on track to cut rates in Sept.",https://finance.yahoo.com/news/labor-market-weakness-shows-signs-of-leveling-off-keeps-fed-on-track-to-cut-rates-in-sept-142639639.html
Morgan Stanley to Close 6 Remaining ETFs on FundLogic Platform,https://finance.yahoo.com/m/efefaad0-6a5e-3d60-b29a-ddbf7c89bd71/morgan-stanley-to-close-6.html
"Meme stocks are surging again, which may be good news for the risk rally: Morning Brief",https://finance.yahoo.com/news/meme-stocks-are-surging-again-which-may-be-good-news-for-the-risk-rally-morning-brief-105333412.html
Jackson Hole Preview: Q&amp;A on the Feds annual conference,https://finance.yahoo.com/news/jackson-hole-preview-q-fed-092701390.html
Timely rotations help hedge funds navigate summer volatility: Goldman Sachs,https://finance.yahoo.com/news/timely-rotations-help-hedge-funds-082704754.html
"Nvidia helped the stock market storm back, but this summers broadening theme never went away",https://finance.yahoo.com/news/nvidia-helped-the-stock-market-storm-back-but-this-summers-broadening-theme-never-went-away-163945609.html
Why millennials and Gen Z are too young to be loading up on bonds,https://finance.yahoo.com/news/why-millennials-and-gen-z-are-too-young-to-be-loading-up-on-bonds-162237775.html
Fed's Kashkari says it is appropriate to debate Sept rate cut: WSJ,https://finance.yahoo.com/news/feds-kashkari-says-appropriate-debate-112311426.html
"As Tech Stocks Rebound, High Hedging Costs Indicate Skepticism",https://finance.yahoo.com/news/tech-stocks-rebound-high-hedging-040813821.html
All eyes on the Fed at Jackson Hole amid market rebound: What to know this week,https://finance.yahoo.com/news/all-eyes-on-the-fed-at-jackson-hole-amid-market-rebound-what-to-know-this-week-115800526.html
Billionaire Ken Griffin Bought These 2 ETFs Hand Over Fist in Q2,https://finance.yahoo.com/m/5d44a552-46fc-36df-839a-3a499811782b/billionaire-ken-griffin.html
Gold Rally Pushes GLD Ahead of SPY in 2024,https://finance.yahoo.com/m/469deefc-6356-3f88-b9c1-d2e6edf00582/gold-rally-pushes-gld-ahead.html
European ETF Trading Hits $1.5T in First Half of 2024,https://finance.yahoo.com/m/0196d748-f01f-3b63-b48c-2fadf73a25b0/european-etf-trading-hits.html
July CPI consistent with 25bp rate cut in September rather than 50bp: strategists,https://finance.yahoo.com/news/july-cpi-consistent-25bp-rate-133151112.html
Wall Street has never been more sure lower rates are coming: Morning Brief,https://finance.yahoo.com/news/wall-street-has-never-been-more-sure-lower-rates-are-coming-morning-brief-100056333.html
Stock market bears may have the calendar on their side until the election,https://finance.yahoo.com/news/stock-market-bears-may-have-the-calendar-on-their-side-until-the-election-162601055.html
Investors more confident in soft landing as Fed rate cut expectations rise: BofA survey,https://finance.yahoo.com/news/investors-more-confident-in-soft-landing-as-fed-rate-cut-expectations-rise-bofa-survey-145530036.html
"Inflation data, retail sales, Walmart earnings await a jumpy stock market: What to know this week",https://finance.yahoo.com/news/inflation-data-retail-sales-walmart-earnings-await-a-jumpy-stock-market-what-to-know-this-week-160217351.html
"With Recession Fears Looming, History Says You Should Be Buying This ETF",https://finance.yahoo.com/m/b6b2795d-4b96-3d7d-afe4-5ad61a53977b/with-recession-fears-looming%2C.html
Global ETP Inflows Hit Record $195.4B in July: BlackRock,https://finance.yahoo.com/m/6c06899a-a1e0-3ff5-8deb-4a3ca2acfb65/global-etp-inflows-hit-record.html
Stock ETF Volatility: Buy the Dip vs Sell the Rip,https://finance.yahoo.com/m/55ac4865-2a5a-3b5d-9b62-91f0f45d6404/stock-etf-volatility%3A-buy-the.html
Trading in 401 (k) Accounts During Stock Market Rout Hit Highest Level Since 2020,https://www.investopedia.com/401k-accounts-trading-during-stock-market-rout-hit-highest-level-since-2020-8691842
Tortoise Creates ETF From Closed-End Funds,https://finance.yahoo.com/m/32c8f4ec-844f-30ba-8f0f-c3fed867fa7a/tortoise-creates-etf-from.html
Why the Japanese yen is pushing around the US stock market: Morning Brief,https://finance.yahoo.com/news/why-the-japanese-yen-is-pushing-around-the-us-stock-market-morning-brief-100053746.html
Build a Portfolio With These 4 ETFs,https://finance.yahoo.com/m/0d32da95-dcbe-3c85-9505-a8797a780e40/build-a-portfolio-with-these.html
Stocks look to rebound during quieter week for economic data: What to know this week,https://finance.yahoo.com/news/stocks-look-to-rebound-during-quieter-week-for-economic-data-what-to-know-this-week-114008847.html
Amazon drives list of Fridays plunging S&amp;P 500 stocks,https://finance.yahoo.com/m/f0a16959-1213-339a-aa84-8f4d47972353/amazon-drives-list-of.html
Stocks hammered after this week's labor data shows investors treating 'bad news as bad news',https://finance.yahoo.com/news/stocks-hammered-after-this-weeks-labor-data-shows-investors-treating-bad-news-as-bad-news-170211135.html
Probability of 50 bps rate cut more than doubled after payroll data,https://finance.yahoo.com/news/probability-50-bps-rate-cut-134801040.html
"TLT, Russell 2000 ETFs Top SPY, Big Tech in July",https://finance.yahoo.com/m/3bd46da3-be49-34b2-ae8d-5085dfa669ae/tlt%2C-russell-2000-etfs-top.html
"NVDL, AI ETFs Jump on AMD, Renewed Nvidia Hope",https://finance.yahoo.com/m/e33a4d74-d37b-337b-85a6-42745fcfe420/nvdl%2C-ai-etfs-jump-on-amd%2C.html
Vanguard Warns Investors as U.S. Weighs Ownership Limits,https://finance.yahoo.com/m/3f50da57-3714-3ef0-9ab6-e59889990a0a/vanguard-warns-investors-as.html
Small caps have nearly caught up to the S&amp;P 500: Morning Brief,https://finance.yahoo.com/news/small-caps-have-nearly-caught-up-to-the-sp-500-morning-brief-100049645.html
Why are Hedge Funds Bullish on The Utilities Select Sector SPDR Fund (XLU) Now?,https://finance.yahoo.com/news/why-hedge-funds-bullish-utilities-231236347.html
The Southern Company (SO): Why Is Peconic Partners Bullish on This Stock?,https://www.insidermonkey.com/blog/the-southern-company-so-why-is-peconic-partners-bullish-on-this-stock-1327501/
Is FirstEnergy Corp. (FE) Among Peconic Partners' Top Stock Picks Now?,https://www.insidermonkey.com/blog/is-firstenergy-corp-fe-among-peconic-partners-top-stock-picks-now-1327498/
"Why Is Uber Technologies, Inc. (UBER) Among Peconic Partners' Top Stock Picks?",https://www.insidermonkey.com/blog/why-is-uber-technologies-inc-uber-among-peconic-partners-top-stock-picks-1327495/
"Amazon.com, Inc. (AMZN): A Good Stock to Buy According to Peconic Partners?",https://www.insidermonkey.com/blog/amazon-com-inc-amzn-a-good-stock-to-buy-according-to-peconic-partners-1327486/
"Here's How Much Money You'd Have Now If You Invested $10,000 in Warren Buffett's Favorite ETF 10 Years Ago",https://finance.yahoo.com/m/1576deb7-d5eb-3e9d-a5a2-113c7451cb7d/here%27s-how-much-money-you%27d.html
"Big Tech earnings, a Fed meeting, and the July jobs report: What to know this week",https://finance.yahoo.com/news/big-tech-earnings-a-fed-meeting-and-the-july-jobs-report-what-to-know-this-week-113019417.html
2 charts show why the stock market sell-off isn't done yet,https://finance.yahoo.com/news/2-charts-show-why-the-stock-market-sell-off-isnt-done-yet-080039641.html
Fed's Dudley now calling for Fed rate cut next week amid recession concerns,https://finance.yahoo.com/news/feds-dudley-now-calling-fed-143317350.html
Big Tech earnings won't be make or break for the stock market: Morning Brief,https://finance.yahoo.com/news/big-tech-earnings-wont-be-make-or-break-for-the-stock-market-morning-brief-100018767.html
Want $1 Million in Retirement? 4 ETFs to Buy Now and Hold for Decades,https://finance.yahoo.com/m/a49f5ee9-2ff2-3490-a4b5-bf688f2883f2/want-%241-million-in.html
"Vanguards VOO Breaks Inflow Record, Outpaces Rival SPY",https://finance.yahoo.com/m/40f3cc12-3bdc-3e73-aae1-3b56b5df6ffc/vanguard%E2%80%99s-voo-breaks-inflow.html
"Small-Cap Gains Resume Ahead Of Major Tech Earnings; UPS Faces Worst Day Ever, Bitcoin Dips Below $66,000: What's Driving Markets Tuesday?",https://finance.yahoo.com/news/small-cap-gains-resume-ahead-175332448.html
Yahoo Finance Chartbook: 32 charts tell the story of markets and the economy midway through 2024,https://finance.yahoo.com/news/yahoo-finance-chartbook-32-charts-tell-the-story-of-markets-and-the-economy-midway-through-2024-095812719.html
Biden dropping out presents 'another curveball' for the stock market,https://finance.yahoo.com/news/biden-dropping-out-presents-another-curveball-for-the-stock-market-201516583.html
Biden dropping out presents 'another curveball' for stocks,https://finance.yahoo.com/news/biden-dropping-out-presents-another-curveball-for-stocks-201516203.html
State Street Survey Unveils ETF Growth Opportunities,https://finance.yahoo.com/m/e0f16c65-b4b6-3a91-a504-76512e329b17/state-street-survey-unveils.html
"Will This Week's Inflation, GDP Data Move Markets?",https://finance.yahoo.com/m/ccb30e01-60a5-3bd9-9d97-dbb8a9aadfeb/will-this-week%27s-inflation%2C.html
"Joe Biden dropout fallout, inflation data, and the start of tech earnings: What to know this week",https://finance.yahoo.com/news/joe-biden-dropout-fallout-inflation-data-and-the-start-of-tech-earnings-what-to-know-this-week-181715078.html
Inflation and the start of tech earnings: What to know this week,https://finance.yahoo.com/news/inflation-and-the-start-of-tech-earnings-what-to-know-this-week-110011382.html
"Joe Biden drops out of race, endorses Kamala Harris",https://finance.yahoo.com/news/joe-biden-drops-race-endorses-144520255.html
This SMID Cap ETF Outperformed SPY Over the Last Month,https://finance.yahoo.com/news/smid-cap-etf-outperformed-spy-170948211.html
BlackRock ETF Taps Into American-Made Mood,https://finance.yahoo.com/m/6968a5a8-5dd1-38cb-a183-6a3ef8ba2a99/blackrock-etf-taps-into.html
Why small caps are showing up the tech titans: Morning Brief,https://finance.yahoo.com/news/why-small-caps-are-showing-up-the-tech-titans-morning-brief-100034487.html
Missed Out on the Bull Market Recovery? Here Are 7 ETFs You Can Buy Today.,https://finance.yahoo.com/m/3d108de9-cb9f-3ec7-835c-73512ea45362/missed-out-on-the-bull-market.html
"Global ETF Assets Cross $13T as Flows, Markets Rise: ETFGI",https://finance.yahoo.com/m/d45386e5-3c65-33f7-bc04-cc6b0e124229/global-etf-assets-cross-%2413t.html
Investors are growing increasingly confident about a 'soft landing',https://finance.yahoo.com/news/investors-are-growing-increasingly-confident-about-a-soft-landing-135042399.html
The true bull market may finally 'wake up' as investors eye rate cuts,https://finance.yahoo.com/news/the-true-bull-market-may-finally-wake-up-as-investors-eye-rate-cuts-080027716.html
"Investors Bought Up IWM, RSP Last Week",https://finance.yahoo.com/m/75e9bbe5-bc4d-3d4b-a31f-e69d0f992d88/investors-bought-up-iwm%2C-rsp.html
BlackRock ETFs Pulled in $83B in 2Q as Markets Rose,https://finance.yahoo.com/m/7088be52-39e7-3b53-93bd-7ac9ac3985db/blackrock-etfs-pulled-in-%2483b.html
Global ETF Inflows Surge to $128.1B in June: BlackRock,https://finance.yahoo.com/m/95bf9026-4bbd-32b9-8719-f05ec8f8920f/global-etf-inflows-surge-to.html
Gavekal sees 'a sizable red wave come Novembers vote',https://finance.yahoo.com/news/gavekal-sees-sizable-red-wave-083800968.html
"Investing Less Than $200 Per Month in This ETF Could Create $10,000 in Annual Dividend Income Within 25 Years",https://finance.yahoo.com/m/f0e5be18-1ba0-38d1-bf14-730e51f5774a/investing-less-than-%24200-per.html
"Fed's Powell 'may prefer not to change rates before an election', strategists say",https://finance.yahoo.com/news/feds-powell-may-prefer-not-090244070.html
"Dow Reaches Record Highs Above 40,000, Small Caps Ride The Rate-Cut Wave, EV Stocks Rally: What's Driving Markets Friday?",https://finance.yahoo.com/news/dow-reaches-record-highs-above-174051043.html
Passive to Active ETF Migration Grows: JPMorgan,https://finance.yahoo.com/m/9c8b9bd2-44f7-3935-b40d-731b304f6b46/passive-to-active-etf.html
"SPY Leads Inflows, DIA Tops in Outflows: ETF Fund Flows as of July 11, 2024",https://finance.yahoo.com/m/dad0252d-eee6-36be-a903-f89f7b5e3c0d/spy-leads-inflows%2C-dia-tops.html
"Tech Stocks Tumble As Small Caps, REITs, Gold Miners Rally; Soft June Inflation Ignites Rate Cut Expectations: What's Driving Markets Thursday?",https://finance.yahoo.com/news/tech-stocks-tumble-small-caps-174602350.html
"INDA, Emerging Markets ETFs Outperforming SPY",https://finance.yahoo.com/m/82c0b180-54fa-3105-b45f-05c5be576a7b/inda%2C-emerging-markets-etfs.html
"SPY Leads Inflows, QQQ Tops in Outflows: ETF Fund Flows as of July 10, 2024",https://finance.yahoo.com/m/2fc9309b-ae7a-3fda-957c-9a64980f75c9/spy-leads-inflows%2C-qqq-tops.html
3 Cash-Cow Stocks Offering Unbeatable Income,https://investorplace.com/2024/07/3-cash-cow-stocks-offering-unbeatable-income/
Does SPY and Its 18% Rise Reflect U.S. Markets?,https://finance.yahoo.com/m/5e5dfbf8-a0f6-303a-aa39-f210c46612e9/does-spy-and-its-18%25-rise.html
June CPI May Embolden Fed to Cut Soon,https://finance.yahoo.com/m/b29e2f70-7bed-328b-8321-8da2b1b72944/june-cpi-may-embolden-fed-to.html
